title,price_gbp,price_inr,rating,in_stock,category_name,availability_raw
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,6051.48,4,True,Women's Fiction,In stock
Will You Won't You Want Me?,13.86,1462.23,3,True,Women's Fiction,In stock
Keep Me Posted,20.46,2158.53,4,True,Women's Fiction,In stock
Grey (Fifty Shades #4),48.49,5115.695000000001,4,True,Women's Fiction,In stock
Meternity,43.58,4597.69,3,True,Women's Fiction,In stock
Some Women,13.73,1448.515,5,True,Women's Fiction,In stock
Shopaholic Ties the Knot (Shopaholic #3),48.39,5105.145,5,True,Women's Fiction,In stock
Can You Keep a Secret?,21.94,2314.67,1,True,Women's Fiction,In stock
Twenties Girl,42.8,4515.4,2,True,Women's Fiction,In stock
The Undomestic Goddess,45.75,4826.625,4,True,Women's Fiction,In stock
The Nanny Diaries (Nanny #1),52.53,5541.915,5,True,Women's Fiction,In stock
The Devil Wears Prada (The Devil Wears Prada #1),44.29,4672.595,1,True,Women's Fiction,In stock
Something Borrowed (Darcy & Rachel #1),48.96,5165.28,5,True,Women's Fiction,In stock
Something Blue (Darcy & Rachel #2),54.62,5762.41,1,True,Women's Fiction,In stock
I've Got Your Number,19.69,2077.295,1,True,Women's Fiction,In stock
The Edge of Reason (Bridget Jones #2),19.18,2023.49,4,True,Women's Fiction,In stock
Bridget Jones's Diary (Bridget Jones #1),29.82,3146.01,1,True,Women's Fiction,In stock
It's Only the Himalayas,45.17,4765.435,2,True,Travel,In stock
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.865,4,True,Travel,In stock
See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.785,3,True,Travel,In stock
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.1699999999996,2,True,Travel,In stock
Under the Tuscan Sun,37.33,3938.3149999999996,3,True,Travel,In stock
A Summer In Europe,44.34,4677.870000000001,2,True,Travel,In stock
The Great Railway Bazaar,30.54,3221.97,1,True,Travel,In stock
A Year in Provence (Provence #1),56.88,6000.84,4,True,Travel,In stock
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.655,1,True,Travel,In stock
Neither Here nor There: Travels in Europe,38.95,4109.225,3,True,Travel,In stock
"1,000 Places to See Before You Die",26.08,2751.4399999999996,5,True,Travel,In stock
Wall and Piece,44.18,4660.99,4,True,Art,In stock
Feathers: Displays of Brilliant Plumage,49.05,5174.775,3,True,Art,In stock
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,5130.465,4,True,Art,In stock
